"","date","id","content"
"363",2013-09-22,"동글이(6wan****)","아직도 눈물이....ㅠㅠ...여운대박이네요.. 정말 저렇게 사람을 백성을 마음으로 아우르는 지도자가 있는 곳에 살고싶다ㅠㅠㅠㅠ픽션이래도 진짜 절로 고개숙여 인사드릴거 같고 존경하고싶었어요 이병헌씨 연기가 입에서 입으로 전해지는 이율 진짜 절실히느꼈어요"
"364",2013-09-22,"워니워니(jyw0****)","2번을 봐도 재밌는 영화."
"365",2013-09-22,"후장마타(chwg****)","훌륭한 작품인듯 제대로"
"366",2013-09-22,"김극도(doya****)","진짜 최고의 영화"
"367",2013-09-22,"문현승(gust****)","재밌었엉~ㅋ"
"368",2013-09-22,"SilverBullet(ehdg****)","오늘 추석특집으로 광해를 해줘서 보았는데 정말 이만한 영화가 있을지 생각, 또 생각합니다"
"369",2013-09-22,"별별(jina****)","이거 평점 9.8이상 찍게만들고싶다"
"370",2013-09-22,"ㅇㅇㅇ(3785****)","영화 참 잘만들었다 이런게 영화라고 할수있는것이다 진짜 감동과 코믹 잘 분배했고 무엇보다도 배우들의연기들땜에 몰입감이 더했던 영화이다 마음속에 깊게 남을 영화이다 메세지도 정확하고 말이다 명장면도 참 많은영화이다 추석땜에 봤는데 좋은영화이다"
"371",2013-09-22,"인지(say7****)","역대 최고"
"372",2013-07-11,"태연남편(kh07****)","음 역사적 상식이 없으면 조금 이해하기 힘든 부분도 있을 수 있지만 그래도 전체적인 연출이나 플롯이 좋은 편이다. 특히 우리에게 무언가를 생각하게 하는 영화라.. 영화관에서 못 본게 아쉽다."
"373",2013-09-22,"현재혁(lopl****)","너무재밌네요 왜 극장에서 안봤는지.. 어제본 관상은 광해의 아류인것같네요"
"374",2013-09-22,"와클(powe****)","현존 우리나라 최고의 영화."
"375",2013-09-22,"주탱(tawh****)","이병헌의 광해의 연기는 압도되어 빨려들어간다"
"376",2013-09-22,"ggzz****","재밌네 재밌어... 이병헌 연기 잘하네 ㄷㄷㄷ"
"377",2013-09-22,"dhjh****","단언컨대 디테일한 연기는 이병헌 따라올자 없습니다!"
"378",2013-02-11,"아리온(khk4****)","OOO들,,,야심한 시각에 폭풍처럼 몰려들었네,,,지루하고 재미없다고 난리구먼 니들은 그냥 총쏘고 때려부스고 야동으로 떡치는거나 봐라"
"379",2013-09-22,"mube****","생각보다 괜찮았고 이병헌 연기 진짜 잘한다.수작인거같다."
"380",2013-09-22,"크리스(nimo****)","이것이 한국영화로소이다!이병헌의 연기력 진중하고 예리하기때문 대중들 마음을 아주잘아는그.....미워할수없는 영화...완전체인 이병헌"
"381",2013-09-22,"남택용(wdkr****)","이병헌카리스마 굳ㅋㅋ광해같은영화또나왔느면좋겠네"
"382",2013-09-22,"Se(soso****)","최고다 보고 싶었는데 지금이라도 보게되서 다행"
"383",2013-09-22,"없음(rlat****)","민중은, 이런 수장을 바라지. 명작."
"384",2013-09-22,"삽질전문(ktk2****)","아 평점쓰게 만들다니 ㅜ"
